Reporter_ID,Reporter_Type,Hospital,Country,Reporting_Date
R00001,Physician,City General Hospital,Australia,2020-07-13
R00002,Lawyer,St. Mary's Medical Center,United States,2020-06-08
R00003,Lawyer,St. Mary's Medical Center,United States,2019-07-31
R00004,Lawyer,National Care Hospital,Canada,2022-02-02
R00005,Patient,City General Hospital,Australia,19/06/2022
R00006,Physician,City General Hospital,Brazil,2023-03-05
R00007,Other Health Professional,St. Mary's Medical Center,Brazil,2023-07-12
R00008,Lawyer,Sunrise Medical Institute,Canada,2023-08-26
R00009,Physician,Sunrise Medical Institute,Japan,2022-10-22
R00010,Nurse,Sunrise Medical Institute,Germany,2021-08-27
R00011,Lawyer,Sunrise Medical Institute,France,2020-03-29
R00012,Other Health Professional,National Care Hospital,India,2021-11-03
R00013,Lawyer,Sunrise Medical Institute,United Kingdom,2023-03-30
R00014,Pharmacist,St. Mary's Medical Center,India,2019-07-13
R00015,Other Health Professional,Central Regional Hospital,Australia,2023-11-13
R00016,Physician,Sunrise Medical Institute,Germany,2019-07-09
R00017,Nurse,Metro Health Clinic,Canada,2019-12-09
R00018,Lawyer,City General Hospital,Germany,2021-12-12
R00019,Physician,Sunrise Medical Institute,Australia,15/02/2023
R00020,Lawyer,St. Mary's Medical Center,Japan,2021-02-19
R00021,Physician,National Care Hospital,South Africa,2019-03-04
R00022,Nurse,Metro Health Clinic,Brazil,2019-10-24
R00023,Patient,Central Regional Hospital,France,2023-02-06
R00024,Pharmacist,National Care Hospital,Canada,2023-03-24
R00025,Physician,Central Regional Hospital,Germany,27/02/2020
R00026,Nurse,Central Regional Hospital,Canada,2019-06-26
R00027,Patient,Metro Health Clinic,France,04/01/2022
R00028,Other Health Professional,Central Regional Hospital,Germany,2022-11-12
R00029,Physician,St. Mary's Medical Center,Germany,2021-05-02
R00030,Pharmacist,St. Mary's Medical Center,Canada,2022-04-13
R00031,Patient,Metro Health Clinic,United Kingdom,2020-01-11
R00032,Pharmacist,Central Regional Hospital,Brazil,2021-06-08
R00033,Other Health Professional,Sunrise Medical Institute,Canada,2019-12-13
R00034,Physician,City General Hospital,Brazil,2020-10-16
R00035,Other Health Professional,St. Mary's Medical Center,Canada,2020-06-30
R00036,Other Health Professional,Central Regional Hospital,South Africa,2019-02-05
R00037,Patient,National Care Hospital,France,2021-05-19
R00038,Lawyer,Central Regional Hospital,India,17/11/2021
R00039,Lawyer,St. Mary's Medical Center,India,2020-01-18
R00040,Other Health Professional,City General Hospital,United States,14/06/2019
R00041,Physician,Metro Health Clinic,Germany,2021-12-10
R00042,Nurse,National Care Hospital,France,2019-07-11
R00043,Lawyer,Metro Health Clinic,India,2024-12-30
R00044,Other Health Professional,Metro Health Clinic,United Kingdom,2019-03-27
R00045,Pharmacist,St. Mary's Medical Center,Canada,2024-04-18
R00046,Other Health Professional,St. Mary's Medical Center,South Africa,2024-12-08
R00047,Pharmacist,St. Mary's Medical Center,Japan,2019-02-03
R00048,Other Health Professional,City General Hospital,Canada,2022-01-02
R00049,Lawyer,Central Regional Hospital,France,2023-08-04
R00050,Patient,Metro Health Clinic,Japan,2023-01-01
R00051,Other Health Professional,St. Mary's Medical Center,Australia,2021-05-23
R00052,Pharmacist,City General Hospital,Germany,2020-02-14
R00053,Pharmacist,Metro Health Clinic,Canada,2022-04-25
R00054,Lawyer,City General Hospital,India,2021-12-07
R00055,Other Health Professional,Metro Health Clinic,Canada,22/07/2023
R00056,Pharmacist,St. Mary's Medical Center,United Kingdom,2020-05-08
R00057,Lawyer,Sunrise Medical Institute,Japan,2021-12-27
R00058,Lawyer,Metro Health Clinic,Australia,2022-02-14
R00059,Lawyer,National Care Hospital,South Africa,2022-05-29
R00060,Nurse,City General Hospital,Japan,2022-06-25
R00061,Nurse,National Care Hospital,Germany,26/12/2020
R00062,Patient,Central Regional Hospital,United States,2020-01-17
R00063,Pharmacist,Sunrise Medical Institute,India,18/05/2024
R00064,Other Health Professional,St. Mary's Medical Center,Canada,2022-01-10
R00065,Lawyer,National Care Hospital,India,2023-07-10
R00066,Other Health Professional,Metro Health Clinic,Brazil,2020-06-25
R00067,Lawyer,St. Mary's Medical Center,Brazil,2021-12-17
R00068,Patient,St. Mary's Medical Center,United States,2020-04-02
R00069,Patient,Central Regional Hospital,United Kingdom,2023-08-20
R00070,Lawyer,National Care Hospital,Australia,2019-09-04
R00071,Other Health Professional,Sunrise Medical Institute,United Kingdom,2019-04-19
R00072,Patient,St. Mary's Medical Center,United States,2021-11-11
R00073,Pharmacist,Sunrise Medical Institute,India,2024-05-15
R00074,Lawyer,Sunrise Medical Institute,United Kingdom,2019-12-24
R00075,Lawyer,Sunrise Medical Institute,India,2020-10-09
R00076,Pharmacist,Central Regional Hospital,Brazil,2024-09-20
R00077,Other Health Professional,Sunrise Medical Institute,Japan,2019-02-23
R00078,Nurse,Metro Health Clinic,United States,2024-12-19
R00079,Other Health Professional,City General Hospital,Brazil,27/01/2023
R00080,Nurse,National Care Hospital,Germany,2020-01-20
R00081,Nurse,National Care Hospital,France,2024-03-01
R00082,Lawyer,National Care Hospital,Germany,21/10/2020
R00083,Pharmacist,Metro Health Clinic,United Kingdom,2024-03-07
R00084,Nurse,Metro Health Clinic,Brazil,2024-09-01
R00085,Nurse,City General Hospital,Japan,2023-08-05
R00086,Lawyer,City General Hospital,India,2024-01-27
R00087,Lawyer,St. Mary's Medical Center,United Kingdom,2022-04-27
R00088,Nurse,Metro Health Clinic,United States,2021-12-07
R00089,Pharmacist,St. Mary's Medical Center,India,01/01/2020
R00090,Other Health Professional,Metro Health Clinic,Australia,2024-11-04
R00091,Pharmacist,City General Hospital,Brazil,2020-02-15
R00092,Other Health Professional,Sunrise Medical Institute,South Africa,30/09/2021
R00093,Other Health Professional,Central Regional Hospital,Germany,17/08/2021
R00094,Physician,St. Mary's Medical Center,Japan,2021-01-29
R00095,Patient,National Care Hospital,South Africa,2019-10-10
R00096,Lawyer,National Care Hospital,Australia,02/12/2023
R00097,Pharmacist,Sunrise Medical Institute,Germany,2021-04-04
R00098,Patient,Metro Health Clinic,United States,2023-03-29
R00099,Other Health Professional,Central Regional Hospital,Canada,2019-03-17
R00100,Lawyer,Metro Health Clinic,South Africa,2024-06-20
R00101,Lawyer,Sunrise Medical Institute,Brazil,2023-08-05
R00102,Pharmacist,City General Hospital,United Kingdom,2019-03-16
R00103,Pharmacist,City General Hospital,India,2023-01-31
R00104,Nurse,Central Regional Hospital,United Kingdom,2020-10-24
R00105,Patient,National Care Hospital,South Africa,2023-11-04
R00106,Patient,National Care Hospital,Brazil,2021-06-30
R00107,Physician,St. Mary's Medical Center,India,2023-11-16
R00108,Pharmacist,City General Hospital,India,2022-01-02
R00109,Nurse,Central Regional Hospital,Canada,2021-12-02
R00110,Nurse,Metro Health Clinic,Brazil,09/01/2021
R00111,Patient,Central Regional Hospital,Australia,2021-07-19
R00112,Nurse,Metro Health Clinic,United States,2022-08-21
R00113,Other Health Professional,Metro Health Clinic,Brazil,2020-09-23
R00114,Other Health Professional,St. Mary's Medical Center,France,2019-02-26
R00115,Pharmacist,Sunrise Medical Institute,Australia,2019-08-09
R00116,Other Health Professional,St. Mary's Medical Center,South Africa,2022-02-28
R00117,Other Health Professional,Central Regional Hospital,Australia,2020-09-05
R00118,Other Health Professional,Sunrise Medical Institute,Australia,2023-07-23
R00119,Patient,Central Regional Hospital,Brazil,01/03/2019
R00120,Nurse,Metro Health Clinic,United Kingdom,2021-01-07
R00121,Lawyer,St. Mary's Medical Center,France,2019-05-12
R00122,Physician,National Care Hospital,United Kingdom,2020-02-27
R00123,Lawyer,St. Mary's Medical Center,Canada,29/12/2023
R00124,Physician,City General Hospital,Brazil,2021-12-03
R00125,Other Health Professional,Metro Health Clinic,United States,2019-08-05
R00126,Pharmacist,Sunrise Medical Institute,Canada,2023-12-18
R00127,Other Health Professional,City General Hospital,United States,2024-04-24
R00128,Other Health Professional,City General Hospital,Brazil,2021-12-11
R00129,Nurse,St. Mary's Medical Center,Japan,2019-04-12
R00130,Lawyer,City General Hospital,Japan,2024-01-06
R00131,Patient,City General Hospital,Japan,2020-03-05
R00132,Other Health Professional,National Care Hospital,Canada,2019-01-26
R00133,Physician,Metro Health Clinic,France,2022-12-01
R00134,Physician,Central Regional Hospital,United Kingdom,19/10/2020
R00135,Other Health Professional,City General Hospital,India,2024-02-12
R00136,Nurse,Central Regional Hospital,United States,2023-06-19
R00137,Patient,Central Regional Hospital,United Kingdom,2022-06-16
R00138,Other Health Professional,Central Regional Hospital,South Africa,30/07/2021
R00139,Lawyer,Sunrise Medical Institute,India,2022-06-23
R00140,Nurse,Central Regional Hospital,South Africa,02/06/2022
R00141,Other Health Professional,Metro Health Clinic,Germany,2021-01-31
R00142,Patient,National Care Hospital,Canada,2024-03-28
R00143,Nurse,St. Mary's Medical Center,Canada,13/02/2022
R00144,Lawyer,National Care Hospital,Canada,2022-02-20
R00145,Pharmacist,Central Regional Hospital,Canada,2022-11-08
R00146,Pharmacist,National Care Hospital,India,2020-02-20
R00147,Patient,Sunrise Medical Institute,Brazil,10/04/2020
R00148,Pharmacist,Metro Health Clinic,India,2023-03-02
R00149,Other Health Professional,National Care Hospital,Japan,17/07/2024
