Side_Effect,Count
Nausea,1029
Fatigue,711
Diarrhea,701
Dizziness,667
Rash,597
Headache,591
Hypotension,299
Bleeding,288
Myopathy,278
Stroke,276
Bradycardia,271
Angioedema,271
Cardiotoxicity,210
Death,208
Infusion Reaction,206
Neutropenia,203
Hair Loss,189
Weight Loss,146
Insomnia,138
Liver Injury,122
Anaphylaxis,114
Weight Gain,104
C. diff Colitis,103
GI Upset,99
Kidney Injury,95
GI Bleeding,94
Ulcer,89
Hypoglycemia,89
Lactic Acidosis,87
Somnolence,69
Immunosuppression,66
Sexual Dysfunction,64
Fracture Risk,64
Peripheral Edema,63
Tremor,62
Palpitations,62
B12 Deficiency,61
Osteoporosis,61
Ataxia,52
Hyperglycemia,52
Suicidal Ideation,49
