Reporting_Month,ADR_Count
2020-01,144
2020-02,139
2020-03,172
2020-04,146
2020-05,150
2020-06,142
2020-07,147
2020-08,168
2020-09,155
2020-10,139
2020-11,128
2020-12,129
2021-01,171
2021-02,139
2021-03,165
2021-04,135
2021-05,145
2021-06,149
2021-07,166
2021-08,148
2021-09,145
2021-10,147
2021-11,172
2021-12,164
2022-01,149
2022-02,129
2022-03,154
2022-04,132
2022-05,154
2022-06,143
2022-07,167
2022-08,148
2022-09,151
2022-10,160
2022-11,151
2022-12,150
2023-01,133
2023-02,122
2023-03,151
2023-04,148
2023-05,158
2023-06,151
2023-07,147
2023-08,159
2023-09,143
2023-10,146
2023-11,165
2023-12,139
2024-01,156
2024-02,142
2024-03,162
2024-04,162
2024-05,177
2024-06,146
2024-07,163
2024-08,155
2024-09,149
2024-10,149
2024-11,152
2024-12,132
