Drug_Name,Side_Effect,Reports_a_DrugAndEvent,Reports_b_DrugOnly,Reports_c_EventOnly,Reports_d_Neither,PRR,ROR,Information_Component,Chi_Square,P_Value,Signal_Detected
Prednisone,Immunosuppression,66,257,0,8677,3562.265,4481.971,4.535,1758.148,0.0,True
Gabapentin,Somnolence,69,290,0,8641,3336.772,4134.831,4.417,1648.468,0.0,True
Prednisone,Osteoporosis,61,262,0,8677,3294.426,4066.029,4.515,1621.938,0.0,True
Gabapentin,Peripheral Edema,63,296,0,8641,3048.706,3701.418,4.397,1501.935,0.0,True
Levothyroxine,Palpitations,62,302,0,8636,2957.877,3568.802,4.377,1456.378,0.0,True
Levothyroxine,Tremor,62,302,0,8636,2957.877,3568.802,4.377,1456.378,0.0,True
Sertraline,Sexual Dysfunction,64,313,0,8623,2943.111,3548.426,4.342,1450.39,0.0,True
Omeprazole,Fracture Risk,64,317,0,8619,2910.942,3502.096,4.329,1434.486,0.0,True
Prednisone,Hyperglycemia,52,271,0,8677,2812.315,3355.939,4.472,1377.148,0.0,True
Omeprazole,B12 Deficiency,61,320,0,8619,2775.55,3307.952,4.318,1365.68,0.0,True
Gabapentin,Ataxia,52,307,0,8641,2520.583,2950.756,4.35,1233.806,0.0,True
Sertraline,Suicidal Ideation,49,328,0,8623,2258.667,2598.863,4.277,1103.021,0.0,True
Sertraline,Weight Gain,63,314,41,8582,35.146,41.997,3.709,819.413,0.0,True
Insulin Glargine,Lactic Acidosis,50,292,37,8621,34.211,39.897,3.73,677.504,0.0,True
Ibuprofen,Kidney Injury,52,304,43,8601,29.363,34.215,3.624,638.279,0.0,True
Insulin Glargine,GI Upset,52,290,47,8611,28.009,32.852,3.623,636.705,0.0,True
Ibuprofen,Ulcer,47,309,42,8602,27.171,31.152,3.563,551.785,0.0,True
Ibuprofen,GI Bleeding,49,307,45,8599,26.439,30.5,3.553,567.486,0.0,True
Metformin,Hypoglycemia,45,293,44,8618,26.21,30.081,3.566,531.833,0.0,True
Insulin Glargine,Hypoglycemia,44,298,45,8613,24.753,28.26,3.519,499.627,0.0,True
Sertraline,Insomnia,71,306,67,8556,24.238,29.63,3.509,768.042,0.0,True
Metformin,GI Upset,47,291,52,8610,23.163,26.743,3.493,517.179,0.0,True
Diclofenac,GI Bleeding,45,301,49,8605,22.97,26.254,3.467,486.159,0.0,True
Levothyroxine,Insomnia,67,297,71,8565,22.389,27.214,3.472,703.726,0.0,True
Diclofenac,Ulcer,42,304,47,8607,22.351,25.301,3.438,445.119,0.0,True
Diclofenac,Kidney Injury,43,303,52,8602,20.683,23.476,3.389,434.32,0.0,True
Metformin,Lactic Acidosis,37,301,50,8612,18.964,21.172,3.315,354.634,0.0,True
Prednisone,Weight Gain,41,282,63,8614,17.483,19.879,3.294,380.064,0.0,True
Ciprofloxacin,Anaphylaxis,50,336,64,8550,17.434,19.88,3.228,430.727,0.0,True
Ciprofloxacin,C. diff Colitis,44,342,59,8555,16.642,18.655,3.178,365.442,0.0,True
Levothyroxine,Weight Loss,58,306,88,8548,15.637,18.411,3.191,477.571,0.0,True
Azithromycin,Liver Injury,44,313,78,8565,13.657,15.436,3.059,326.031,0.0,True
Ciprofloxacin,Liver Injury,44,342,78,8536,12.589,14.079,2.957,296.43,0.0,True
Azithromycin,C. diff Colitis,34,323,69,8574,11.93,13.08,2.911,223.065,0.0,True
Insulin Glargine,Weight Loss,45,297,101,8557,11.279,12.837,2.911,288.969,0.0,True
Metformin,Weight Loss,43,295,103,8559,10.699,12.112,2.862,263.937,0.0,True
Amoxicillin,Anaphylaxis,32,294,82,8592,10.383,11.405,2.812,190.656,0.0,True
Amoxicillin,Liver Injury,34,292,88,8586,10.28,11.361,2.81,201.294,0.0,True
Azithromycin,Anaphylaxis,32,325,82,8561,9.448,10.28,2.694,169.747,0.0,True
Amoxicillin,C. diff Colitis,25,301,78,8596,8.528,9.153,2.591,121.352,0.0,True
Trastuzumab,Hair Loss,41,331,148,8480,6.425,7.097,2.32,145.735,0.0,True
Paclitaxel,Infusion Reaction,43,321,163,8473,6.259,6.963,2.3,149.455,0.0,True
Doxorubicin,Death,42,345,166,8447,5.631,6.195,2.17,126.757,0.0,True
Rituximab,Neutropenia,35,289,168,8508,5.579,6.133,2.185,107.378,0.0,True
Cetuximab,Neutropenia,38,322,165,8475,5.527,6.062,2.159,113.288,0.0,True
Doxorubicin,Neutropenia,40,347,163,8450,5.462,5.976,2.134,115.962,0.0,True
Trastuzumab,Cardiotoxicity,40,332,170,8458,5.457,5.994,2.141,116.878,0.0,True
Cetuximab,Cardiotoxicity,38,322,172,8468,5.302,5.81,2.113,107.52,0.0,True
Methotrexate,Infusion Reaction,36,316,170,8478,5.203,5.681,2.093,99.559,0.0,True
Trastuzumab,Infusion Reaction,37,335,169,8459,5.078,5.528,2.057,98.193,0.0,True
Rituximab,Hair Loss,30,294,159,8517,5.052,5.466,2.062,80.219,0.0,True
Rituximab,Death,33,291,175,8501,5.05,5.509,2.068,88.717,0.0,True
Amlodipine,Bradycardia,52,356,219,8373,5.0,5.585,2.038,135.187,0.0,True
Doxorubicin,Cardiotoxicity,38,349,172,8441,4.917,5.343,2.014,96.035,0.0,True
Paclitaxel,Cardiotoxicity,36,328,174,8462,4.909,5.338,2.021,91.632,0.0,True
Losartan,Hypotension,50,308,249,8393,4.847,5.472,2.027,128.09,0.0,True
Paclitaxel,Death,35,329,173,8463,4.8,5.204,1.994,86.304,0.0,True
Atorvastatin,Angioedema,46,322,225,8407,4.796,5.338,2.005,114.93,0.0,True
Methotrexate,Neutropenia,33,319,170,8478,4.769,5.159,1.989,80.893,0.0,True
