"drug","event","N_ij","PRR","chi_square","signal_flag","rank_disp","EBGM","EB05","EB95","gps_signal_flag","rank_gps","median_onset_days","weibull_shape","p_early_clustering","early_onset_pattern","rank_tto","borda_score","is_ground_truth","consensus_flag"
"Metformin","Lactic acidosis",1313,6.849,4751.513,TRUE,1,4.866,4.659,5.08,TRUE,1,15,0.726,0,TRUE,1,720,TRUE,TRUE
"Atorvastatin","Myopathy",1002,5.272,2699.387,TRUE,2,4.127,3.923,4.34,TRUE,2,15,0.738,0,TRUE,1,718,TRUE,TRUE
"Empagliflozin","Acute kidney injury",674,3.117,851.716,TRUE,3,2.703,2.535,2.874,TRUE,3,15,0.78,0,TRUE,1,716,TRUE,TRUE
"Warfarin","Gastrointestinal haemorrhage",434,2.21,262.796,TRUE,4,2.024,1.869,2.189,FALSE,4,15,0.758,0,TRUE,1,714,TRUE,FALSE
"Glipizide","QT prolongation",353,2.108,188.246,TRUE,5,1.946,1.776,2.112,FALSE,5,86,1.323,1,FALSE,65,648,FALSE,FALSE
"Apixaban","QT prolongation",360,2.108,191.439,TRUE,5,1.943,1.781,2.116,FALSE,6,95,1.474,1,FALSE,65,647,FALSE,FALSE
"Glipizide","Peripheral oedema",358,2.09,186.9,TRUE,7,1.932,1.767,2.1,FALSE,7,88,1.469,1,FALSE,65,644,FALSE,FALSE
"Apixaban","Hypoglycemia",338,2.019,159.319,TRUE,8,1.872,1.714,2.045,FALSE,8,96.5,1.271,1,FALSE,65,642,FALSE,FALSE
"Ibuprofen","Diarrhoea",397,1.998,183.043,FALSE,9,1.856,1.708,2.011,FALSE,9,90,1.392,1,FALSE,65,640,FALSE,FALSE
"Rosuvastatin","Rash",316,1.855,115.283,FALSE,10,1.739,1.585,1.907,FALSE,10,83.5,1.341,1,FALSE,65,638,FALSE,FALSE
"Amlodipine","Rhabdomyolysis",382,1.852,140.432,FALSE,11,1.739,1.598,1.894,FALSE,10,94,1.42,1,FALSE,65,637,FALSE,FALSE
"Apixaban","Hepatic failure",313,1.845,112.142,FALSE,12,1.731,1.575,1.897,FALSE,12,90,1.371,1,FALSE,65,634,FALSE,FALSE
"Sertraline","Headache",345,1.817,119.406,FALSE,13,1.714,1.568,1.871,FALSE,13,91,1.305,1,FALSE,65,632,FALSE,FALSE
"Rosuvastatin","Hepatic failure",308,1.814,104.229,FALSE,14,1.705,1.547,1.867,FALSE,14,93,1.442,1,FALSE,65,630,FALSE,FALSE
"Apixaban","Peripheral oedema",321,1.805,107.211,FALSE,15,1.699,1.547,1.848,FALSE,15,93,1.424,1,FALSE,65,628,FALSE,FALSE
"Sitagliptin","Nausea",368,1.797,122.552,FALSE,16,1.695,1.552,1.837,FALSE,16,92.5,1.438,1,FALSE,65,626,FALSE,FALSE
"Lisinopril","Dizziness",315,1.781,100.526,FALSE,17,1.679,1.526,1.837,FALSE,17,86,1.324,1,FALSE,65,624,FALSE,FALSE
"Ibuprofen","Nausea",376,1.774,119.497,FALSE,18,1.674,1.534,1.819,FALSE,18,98,1.487,1,FALSE,65,622,FALSE,FALSE
"Apixaban","Rash",304,1.774,95.424,FALSE,18,1.673,1.516,1.834,FALSE,19,100.5,1.364,1,FALSE,65,621,FALSE,FALSE
"Levothyroxine","Dizziness",297,1.741,87.861,FALSE,20,1.649,1.497,1.807,FALSE,20,97,1.398,1,FALSE,65,618,FALSE,FALSE
"Ibuprofen","Rhabdomyolysis",367,1.737,108.178,FALSE,21,1.643,1.506,1.789,FALSE,21,85,1.417,1,FALSE,65,616,FALSE,FALSE
"Losartan","Nausea",359,1.734,105.382,FALSE,22,1.642,1.504,1.785,FALSE,22,99,1.43,1,FALSE,65,614,FALSE,FALSE
"Sitagliptin","Angioedema",363,1.73,105.92,FALSE,24,1.639,1.5,1.788,FALSE,23,90,1.445,1,FALSE,65,611,FALSE,FALSE
"Ibuprofen","Angioedema",375,1.73,108.96,FALSE,24,1.637,1.501,1.775,FALSE,24,91,1.379,1,FALSE,65,610,FALSE,FALSE
"Warfarin","Peripheral oedema",314,1.731,90.33,FALSE,23,1.636,1.485,1.791,FALSE,26,95.5,1.446,1,FALSE,65,609,FALSE,FALSE
"Sertraline","Hyperkalemia",344,1.725,99.622,FALSE,26,1.637,1.498,1.786,FALSE,24,81,1.434,1,FALSE,65,608,FALSE,FALSE
"Losartan","Angioedema",363,1.716,102.864,FALSE,27,1.628,1.486,1.766,FALSE,27,94,1.458,1,FALSE,65,604,FALSE,FALSE
"Amlodipine","Nausea",359,1.716,101.386,FALSE,27,1.627,1.487,1.767,FALSE,28,94,1.433,1,FALSE,65,603,FALSE,FALSE
"Amlodipine","Diarrhoea",341,1.713,95.349,FALSE,29,1.624,1.486,1.778,FALSE,29,96,1.41,1,FALSE,65,600,FALSE,FALSE
"Glipizide","Hypoglycemia",284,1.696,75.815,FALSE,30,1.609,1.455,1.771,FALSE,30,89.5,1.393,1,FALSE,65,598,FALSE,FALSE
"Levothyroxine","Hepatic failure",278,1.692,73.829,FALSE,31,1.607,1.453,1.762,FALSE,31,91,1.448,1,FALSE,65,596,FALSE,FALSE
"Empagliflozin","Diarrhoea",337,1.688,89.097,FALSE,32,1.603,1.461,1.746,FALSE,32,95,1.42,1,FALSE,65,594,FALSE,FALSE
"Losartan","Hyperkalemia",349,1.682,91.588,FALSE,33,1.599,1.458,1.745,FALSE,33,90,1.386,1,FALSE,65,592,FALSE,FALSE
"Omeprazole","Headache",327,1.668,82.772,FALSE,34,1.587,1.446,1.734,FALSE,34,85,1.472,1,FALSE,65,590,FALSE,FALSE
"Losartan","Headache",329,1.653,80.334,FALSE,35,1.574,1.435,1.717,FALSE,35,99,1.566,1,FALSE,65,588,FALSE,FALSE
"Amlodipine","Angioedema",352,1.641,83.84,FALSE,36,1.564,1.43,1.706,FALSE,36,98,1.425,1,FALSE,65,586,FALSE,FALSE
"Levothyroxine","Hypoglycemia",269,1.636,62.442,FALSE,37,1.559,1.413,1.719,FALSE,37,87,1.383,1,FALSE,65,584,FALSE,FALSE
"Omeprazole","Hyperkalemia",335,1.632,78.132,FALSE,38,1.558,1.417,1.696,FALSE,38,89,1.303,1,FALSE,65,582,FALSE,FALSE
"Sitagliptin","Headache",322,1.626,73.678,FALSE,39,1.552,1.411,1.705,FALSE,39,94,1.436,1,FALSE,65,580,FALSE,FALSE
"Levothyroxine","Rash",268,1.615,59.024,FALSE,40,1.542,1.391,1.696,FALSE,40,96,1.546,1,FALSE,65,578,FALSE,FALSE
"Omeprazole","Dizziness",283,1.614,62.2,FALSE,41,1.54,1.395,1.691,FALSE,41,95,1.374,1,FALSE,65,576,FALSE,FALSE
"Lisinopril","Headache",323,1.61,70.786,FALSE,42,1.537,1.398,1.68,FALSE,42,93,1.41,1,FALSE,65,574,FALSE,FALSE
"Warfarin","QT prolongation",285,1.59,58.544,FALSE,43,1.518,1.374,1.671,FALSE,43,98,1.395,1,FALSE,65,572,FALSE,FALSE
"Sertraline","Angioedema",325,1.581,66.524,FALSE,45,1.515,1.38,1.659,FALSE,44,106,1.459,1,FALSE,65,569,FALSE,FALSE
"Warfarin","Rhabdomyolysis",337,1.583,68.715,FALSE,44,1.514,1.386,1.65,FALSE,45,99,1.472,1,FALSE,65,569,FALSE,FALSE
"Levothyroxine","Gastrointestinal haemorrhage",301,1.557,57.221,FALSE,46,1.494,1.353,1.637,FALSE,46,88,1.425,1,FALSE,65,566,FALSE,FALSE
"Glipizide","Myopathy",355,1.547,66.198,FALSE,47,1.486,1.358,1.617,FALSE,47,91,1.421,1,FALSE,65,564,FALSE,FALSE
"Sertraline","Dizziness",263,1.527,45.256,FALSE,48,1.467,1.325,1.616,FALSE,48,100,1.491,1,FALSE,65,562,FALSE,FALSE
"Sitagliptin","Rhabdomyolysis",315,1.519,53.476,FALSE,49,1.461,1.328,1.604,FALSE,49,105,1.458,1,FALSE,65,560,FALSE,FALSE
"Lisinopril","Hyperkalemia",320,1.519,54.144,FALSE,49,1.46,1.332,1.597,FALSE,50,91,1.384,1,FALSE,65,559,FALSE,FALSE
"Glipizide","Diarrhoea",295,1.492,45.747,FALSE,51,1.438,1.307,1.577,FALSE,51,96,1.463,1,FALSE,65,556,FALSE,FALSE
"Amlodipine","Peripheral oedema",271,1.492,41.568,FALSE,51,1.436,1.293,1.58,FALSE,52,87,1.232,1,FALSE,65,555,FALSE,FALSE
"Sitagliptin","Diarrhoea",296,1.49,45.473,FALSE,53,1.435,1.303,1.576,FALSE,53,86,1.418,1,FALSE,65,552,FALSE,FALSE
"Omeprazole","Acute kidney injury",347,1.487,53.567,FALSE,54,1.434,1.313,1.563,FALSE,54,102,1.499,1,FALSE,65,550,FALSE,FALSE
"Rosuvastatin","Dizziness",267,1.477,38.892,FALSE,55,1.423,1.286,1.57,FALSE,55,79,1.361,1,FALSE,65,548,FALSE,FALSE
"Sertraline","Nausea",299,1.474,43.852,FALSE,56,1.423,1.289,1.558,FALSE,55,88,1.358,1,FALSE,65,547,FALSE,FALSE
"Warfarin","Hypoglycemia",259,1.471,36.755,FALSE,57,1.416,1.277,1.567,FALSE,57,96,1.405,1,FALSE,65,544,FALSE,FALSE
"Atorvastatin","Rash",258,1.462,35.516,FALSE,58,1.409,1.264,1.552,FALSE,58,92,1.426,1,FALSE,65,542,FALSE,FALSE
"Atorvastatin","Hepatic failure",256,1.459,34.78,FALSE,59,1.406,1.266,1.548,FALSE,59,96.5,1.359,1,FALSE,65,540,FALSE,FALSE
"Rosuvastatin","Gastrointestinal haemorrhage",294,1.449,39.031,FALSE,60,1.399,1.269,1.536,FALSE,60,96,1.415,1,FALSE,65,538,FALSE,FALSE
"Glipizide","Hepatic failure",246,1.442,31.543,FALSE,61,1.393,1.251,1.541,FALSE,61,99.5,1.479,1,FALSE,65,536,FALSE,FALSE
"Empagliflozin","Rhabdomyolysis",305,1.438,38.931,FALSE,62,1.39,1.263,1.52,FALSE,62,98,1.376,1,FALSE,65,534,FALSE,FALSE
